IBCAttemptID,LocalStudentID,IBCCode,IBCName,ProgramOfStudyID,Attempted,Passed,Verified,AttemptDate
IBCATT000,S10000,IBC1,OSHA 30,POS1,No,No,No,2025-04-15
IBCATT001,S10001,IBC2,AWS Cloud Practitioner,POS2,Yes,Yes,Yes,2025-04-15
IBCATT002,S10002,IBC3,OSHA 30,POS3,Yes,Yes,Yes,2025-04-15
IBCATT003,S10003,IBC4,AWS Cloud Practitioner,POS4,No,Yes,Yes,2025-04-15
IBCATT004,S10004,IBC5,OSHA 30,POS5,Yes,No,Yes,2025-04-15
IBCATT005,S10005,IBC1,AWS Cloud Practitioner,POS1,Yes,Yes,No,2025-04-15
IBCATT006,S10006,IBC2,OSHA 30,POS2,No,Yes,Yes,2025-04-15
IBCATT007,S10007,IBC3,AWS Cloud Practitioner,POS3,Yes,Yes,Yes,2025-04-15
IBCATT008,S10008,IBC4,OSHA 30,POS4,Yes,No,Yes,2025-04-15
IBCATT009,S10009,IBC5,AWS Cloud Practitioner,POS5,No,Yes,Yes,2025-04-15
IBCATT010,S10010,IBC1,OSHA 30,POS1,Yes,Yes,No,2025-04-15
IBCATT011,S10011,IBC2,AWS Cloud Practitioner,POS2,Yes,Yes,Yes,2025-04-15
IBCATT012,S10012,IBC3,OSHA 30,POS3,No,No,Yes,2025-04-15
IBCATT013,S10013,IBC4,AWS Cloud Practitioner,POS4,Yes,Yes,Yes,2025-04-15
IBCATT014,S10014,IBC5,OSHA 30,POS5,Yes,Yes,Yes,2025-04-15
